"baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season"
"Steph","Sun-Dried Tomato and Pesto Star Tear & Share","3rd","Hand-Tied Bouquet of Flowers",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"Alice","Leafy Yoghurt Cake","8th","Afternoon Tea",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"David","A Kick of Limoncello Cake","2nd","Flavours of India Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"Helena","Ghost Cake","9th","Ye Olde English Sweet Shoppe Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"Henry","Ode to a German Breakfast Cake","3rd","Seaside Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"Michael","Cheesecake Surprise","7th","Flag of India Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"Michelle","Homely Rhubarb Cake","5th","Home Comforts Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"Phil","Trucking Lovely Rose Cake","6th","A Corner of My Garden Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"Priya","Choc-chip Banana Cake","10th","Flavours of My Childhood Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"Rosie","A Good Dose of Limoncello Cake","4th","Cocktails & Canapés Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"Steph","Answer to Everything Cake","1st","Pink and Pretty Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ","10"
"Alice","Chocolate & Orange Custard Pies","6th","Piña Colada Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ","10"
"David","Fancy Custards","9th","Amaretto Sour Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ","10"
"Helena","Lemon and Lavender Pies","1st","Vampire's Kiss Raspberry Vodka Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ","10"
"Henry","1920s Pies","3rd","White Russian Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ","10"
"Michael","Mango, Lime & Ginger Pies","8th","Brambling Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ","10"
"Michelle","Blueberry & White Chocolate Crème Brûlée Pies","7th","My Little Sister the Dancing Queen's Piña Colada Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ","10"
"Priya","Lemon & Raspberry Ripple Pies","2nd","Meena Colada Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ","10"
"Rosie","Little Blackberry Pies","5th","White Russian Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ","10"
"Steph","Zesty Citrus Custard Pies","4th","Sour Lime Piña Colada Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ","10"
"Alice","Black Forest Meringue","1st","Tiramisu Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ","10"
"David","Spiced Meringue Surprise","2nd","Delightful Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ","10"
"Henry","Towering Meringue Cake","4th","Bonfire Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ","10"
"Michael","Dark Chocolate Meringue Cake","6th","Black Forest Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ","10"
"Priya","Family Favourite","7th","Summer Fruit Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ","10"
"Rosie","Layers of Lime and Raspberry","5th","Ruby Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ","10"
"Steph","Eton Mess","3rd","Mirror Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ","10"
"Alice","Lemon, Blueberry & Almond Hot Cross Buns","6th","Chocolate, Orange and Salted Caramel Kaleidoscope Sarawak Style Layered Cake",7,"24 Festival Buns ","12 Sicilian Cassatelles ","Kek Lapis Sarawak ","10"
"David","Kozunak Plaits","2nd","Sarawak Style Layer Cake Sculpture",7,"24 Festival Buns ","12 Sicilian Cassatelles ","Kek Lapis Sarawak ","10"
"Henry","Chocolate Kardemummabullar","3rd","Elegant Present Box",7,"24 Festival Buns ","12 Sicilian Cassatelles ","Kek Lapis Sarawak ","10"
"Michael","Figgy Pudding Hot Cross Buns","5th","Jamaican Mule Sarawak Style Layer Cake",7,"24 Festival Buns ","12 Sicilian Cassatelles ","Kek Lapis Sarawak ","10"
"Rosie","Mardi Gras Finnish Semlor Peacock Festival Buns","1st","Rainbow Sarawak Style Layer Cake",7,"24 Festival Buns ","12 Sicilian Cassatelles ","Kek Lapis Sarawak ","10"
"Steph","Zest and Spice Hot Cross Buns","4th","Orange and Chai Spiced Revitalise Cake",7,"24 Festival Buns ","12 Sicilian Cassatelles ","Kek Lapis Sarawak ","10"
"Alice","Leek, Apple & Goat's Cheese Tarte Tatin","3rd","Apple Tree House Pie",8,"Savoury Tarte Tatin ","Moroccan Pie ","Vertical Pie ","10"
"David","Caramelly Carroty Tarte Tatin","1st","Whitby Fish Pie",8,"Savoury Tarte Tatin ","Moroccan Pie ","Vertical Pie ","10"
"Henry","Crab, Tomato & New Potato Tarte Tatin","5th","Chandelier Picnic Pie",8,"Savoury Tarte Tatin ","Moroccan Pie ","Vertical Pie ","10"
"Rosie","Shallot, Aubergine & Goat's Cheese Spiced Tarte Tatin","2nd","Rapunzel's Tower",8,"Savoury Tarte Tatin ","Moroccan Pie ","Vertical Pie ","10"
"Steph","Caramelised Onion & Goat's Cheese Tarte Tatin","4th","Curried Chickpea & Potato Carousel Pie",8,"Savoury Tarte Tatin ","Moroccan Pie ","Vertical Pie ","10"
"Alice","Mocha, Hazelnut & Orange Domed Tarts","4th","Save Our Oceans",9,"8 Domed Tarts ","Gâteau Saint Honoré ","Sugar Glass Display Case ","10"
"David","Aperitif Domed Tarts","2nd","Greenhouse Growing Moss",9,"8 Domed Tarts ","Gâteau Saint Honoré ","Sugar Glass Display Case ","10"
"Rosie","Lemon, Raspberry & Mint Domed Tarts","1st","Time with Family",9,"8 Domed Tarts ","Gâteau Saint Honoré ","Sugar Glass Display Case ","10"
"Steph","Raspberry, Lemon & White Chocolate Domed Tarts","3rd","A Night at the Opera",9,"8 Domed Tarts ","Gâteau Saint Honoré ","Sugar Glass Display Case ","10"
"Alice","Chocolate, Pear, Ginger and Maple Cake","2nd","End of the School Year Celebration Picnic",10,"Ultimate Chocolate Cake ","6 Stilton Soufflés ","Illusion Picnic Basket Feast ","10"
"David","Chocolate, Armagnac and Prune Cake","1st","Peachy Pic-Nik",10,"Ultimate Chocolate Cake ","6 Stilton Soufflés ","Illusion Picnic Basket Feast ","10"
"Steph","Black Forest Chocolate Cake","3rd","Picnic in the Park",10,"Ultimate Chocolate Cake ","6 Stilton Soufflés ","Illusion Picnic Basket Feast ","10"
"Dave","Chocolate Espresso Martini Battenberg Cake","9th","Three Flavours of Tom DeLonge",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Hermine","Chocolate & Orange Battenberg Cake","5th","Ode to Lupita",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Laura","'Celebration of Summer' Battenberg Cake","6th","Lemon & Elderflower Freddie",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Linda","Ambulance Battenberg Cake","12th","Lemon & Orange Bob Marley",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Loriea","'Hot Summer's Day Treats' Battenberg Cake","10th","'Flavours of Jamaica' – A Tribute to Miss Lou",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Lottie","Rhubarb and Custard Battenberg Cake","4th","Coconut & Lime Louis Theroux",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Mak","East India Battenberg Cake","8th","Tribute to Bill Bryson",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Marc","Bittersweet Battenberg Cake","11th","Chocolate & Vanilla Ziggy",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Mark","Turkish Bazaar Inspired Battenberg Cake","7th","'Origin-ger of the Species' by Charles Darwin",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Peter","Gluten-Free Chocolate & Orange Battenberg Cake","2nd","In honour of Sir Chris",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Rowan","'The Magic Flute' Battenberg Cake","3rd","'Let Them Eat Cake' – A Tribute To Marie Antoinette",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Sura","Lemon & Orange Battenberg Cake","1st","Ode to  Attenborough",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","11"
"Dave","Feathered Chocolate Mango Florentines","1st","'Waiting for Tacos'",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Hermine","Mango and Coconut Florentines","5th","Sakura Tea Set",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Laura","Salted Caramel Florentines","7th","Celebration Afternoon Tea",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Linda","Flower Topped Florentines","4th","'High Tea in Amsterdam'",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Lottie","Quarantine Florentines","8th","Viking Victuals",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Mak","Mango and Cumin Florentines","3rd","Indian Chai Service",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Marc","Ginger, Cherry and Pistachio Florentines","9th","Morning Coffee 'n' Toast",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Mark","Mango Lassi Florentines","2nd","Ethiopian Coffee Ceremony",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Peter","Sticky Toffee Florentines","10th","Biscuit Burns Supper",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Rowan","Waistcoat Florentines","11th","'Worse Things Happen At Sea'",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Sura","Sohan Florentines","6th","Speculaas Ramadan Tea Time",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","11"
"Dave","Chilli Chocolate & Cheesy Bacon Soda Bread","9th","'Grateful For My Home and Little Family'",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Hermine","My Favourite Flavours Soda Bread","7th","A Journey Back to France",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Laura","Nana Peg's Nicely Spiced and Cherrylicious Soda Bread","6th","Showstopping Musical Theatre Inspired Bread",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Linda","Cyflym Bara Soda Bread","1st","'Fruits of our Labour' Black Olive Bread & Tiger Bread",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Lottie","Blueberry Breakfast & Summertime Soda Bread","5th","My House In Bread",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Marc","Cornish Soda Breads","2nd","The Dharma Wheel Bread Sheaf",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Mark","Sausage & Stout Soda Bread","3rd","Orchard County Bread with Sweet Apple and Savoury Wild Garlic",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Peter","Black Pudding & Ginger Beer Soda Bread","4th","Edinburgh Cityscape Bread Plaque",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Rowan","Flavours of Italy","10th","Worcestershire Pear Tree",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Sura","Middle Eastern Inspired Soda Bread","8th","Mama's Tomato Vine Harvest Loaf",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","11"
"Dave","Honeycomb Explosion Brownies","8th","Strawberry Splash White Chocolate Fraisier Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","11"
"Hermine","Raspberry, White Chocolate & Pistachio Brownies","5th","Lemon & White Chocolate Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","11"
"Laura","Salted Caramel Brownie S'mores","2nd","Chocolate Heaven Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","11"
"Linda","'Treats of Christmas Past'","1st","English Rose Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","11"
"Lottie","'Have Your Cake and Eat It' Brownies","9th","Nana and Papa's Sapphire Anniversary Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","11"
"Marc","Praline Brownies","6th","White Chocolate & Raspberry Buttercream Celebration Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","11"
"Mark","'Gimmie S'mores' Brownies","3rd","'A Bake Off Birthday'",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","11"
"Peter","Upside Down Brownies","4th","Graduation Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","11"
"Sura","Double Chocolate Marshmallow Brownies","7th","Strawberry & White Chocolate Celebration Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","11"
"Dave","Thai Basil Chicken Pasties","5th","Chocolate, Mango and Lime Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","11"
"Hermine","Moroccan Tagine Pasties","2nd","Lime Confit and Lemon Meringue Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","11"
"Laura","Proper Tasty Pasties","6th","Kent Garden Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","11"
"Linda","Spicy Indian Pasties","8th","Gypsy tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","11"
"Lottie","Toad-In-The-Hole-Less Pasties","4th","Apple Tree Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","11"
"Marc","Cornish Fish Pasties","7th","Posh Apple & Blackberry Pie",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","11"
"Mark","Aloo Gobi Pasties","3rd","Mes-SAGE in a Bottle",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","11"
"Peter","Kedgeree Pasties","1st","Blackberry & Lemon Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ","11"
"Dave","Chicken Shaped Katsu Curry Buns","3rd","Matcha Shiba Inu Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","11"
"Hermine","Chicken Nikuman Panda Buns","4th","Strawberry Cherry Blossom Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","11"
"Laura","Piggy Pork Belly Buns","7th","Upside Down Pineapple Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","11"
"Lottie","Cheeseburger Steamed Buns","2nd","Into the Japanese Woods",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","11"
"Marc","'Hmmmm Dhal' Steamed Buns","6th","Hamish the Dog Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","11"
"Mark","Burger Buns","5th","'Avo Baby'",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","11"
"Peter","Lamb Steamed Buns","1st","Dizzy the Shuttlecock",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ","11"
"Dave","Novel Quiches","6th","'Tiramisu'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","11"
"Hermine","Classic Quiches","1st","Holiday Ice Cream Cake",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","11"
"Laura","Pea & Pizza Quiches","4th","'Death by Chocolate'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","11"
"Lottie","English Breakfast & Summer Salad Quiches","5th","'80's Mix Tape'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","11"
"Marc","Cornish Quiches","3rd","Retro Ice Cream Parlour",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","11"
"Peter","Thai Curry & Salmon Quiches","2nd","'Christmas Cake Surprise'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ","11"
"Dave","'Celebration of Citrus' Cheesecakes","5th","Newquay Beach Scene",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","11"
"Hermine","Passion Fruit Cheesecakes","3rd","Chocolate and Raspberry Mousse Jelly Cake",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","11"
"Laura","Passion Fruit Cheesecakes","1st","'Flower Power' Koi Jelly Art Cake",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","11"
"Marc","New York Style Vanilla & Mascarpone Cheesecakes","2nd","Apple Jelly with Chocolate and Strawberry Mousse",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","11"
"Peter","Lime & Ginger Cheesecakes","4th","Snow Globe Jelly Cake",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ","11"
"Dave","Honey Tequila, Passion Fruit & Mango Savarins","3rd","Celebration of Chocolate Cube Cake",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ","11"
"Hermine","Creme ét Abricot Baba au Rhum","2nd","'The Best of Hermine' Cube Cakes",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ","11"
"Laura","Poached Pineapple, Kiwi and Passion Fruit Rum Babas","4th","Black Forest Cube Cakes",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ","11"
"Peter","Strawberry & Elderflower Babas","1st","Chocolate, Raspberry & Pistachio Cube Cakes",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ","11"
"Dave","'Caramel Latte' Custard Slice","1st","Tower to Redemption",10,"8 Custard Slices ","8 Walnut Whirls ","Colossal Dessert Tower ","11"
"Laura","Yuzu Custard Slice","3rd","Rainbow Dessert Tower",10,"8 Custard Slices ","8 Walnut Whirls ","Colossal Dessert Tower ","11"
"Peter","Cranachan Custard Slice","2nd","Bonkers Bake Off Bubble Cake",10,"8 Custard Slices ","8 Walnut Whirls ","Colossal Dessert Tower ","11"
"Dave","Chocolate Espresso Martini Battenberg Cake","9th","Three Flavours of Tom DeLonge",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Hermine","Chocolate & Orange Battenberg Cake","5th","Ode to Lupita",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Laura","'Celebration of Summer' Battenberg Cake","6th","Lemon & Elderflower Freddie",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Linda","Ambulance Battenberg Cake","12th","Lemon & Orange Bob Marley",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Loriea","'Hot Summer's Day Treats' Battenberg Cake","10th","'Flavours of Jamaica' – A Tribute to Miss Lou",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Lottie","Rhubarb and Custard Battenberg Cake","4th","Coconut & Lime Louis Theroux",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Mak","East India Battenberg Cake","8th","Tribute to Bill Bryson",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Marc","Bittersweet Battenberg Cake","11th","Chocolate & Vanilla Ziggy",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Mark","Turkish Bazaar Inspired Battenberg Cake","7th","'Origin-ger of the Species' by Charles Darwin",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Peter","Gluten-Free Chocolate & Orange Battenberg Cake","2nd","In honour of Sir Chris",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Rowan","'The Magic Flute' Battenberg Cake","3rd","'Let Them Eat Cake' – A Tribute To Marie Antoinette",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Sura","Lemon & Orange Battenberg Cake","1st","Ode to  Attenborough",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ","12"
"Dave","Feathered Chocolate Mango Florentines","1st","'Waiting for Tacos'",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Hermine","Mango and Coconut Florentines","5th","Sakura Tea Set",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Laura","Salted Caramel Florentines","7th","Celebration Afternoon Tea",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Linda","Flower Topped Florentines","4th","'High Tea in Amsterdam'",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Lottie","Quarantine Florentines","8th","Viking Victuals",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Mak","Mango and Cumin Florentines","3rd","Indian Chai Service",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Marc","Ginger, Cherry and Pistachio Florentines","9th","Morning Coffee 'n' Toast",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Mark","Mango Lassi Florentines","2nd","Ethiopian Coffee Ceremony",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Peter","Sticky Toffee Florentines","10th","Biscuit Burns Supper",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Rowan","Waistcoat Florentines","11th","'Worse Things Happen At Sea'",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Sura","Sohan Florentines","6th","Speculaas Ramadan Tea Time",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ","12"
"Dave","Chilli Chocolate & Cheesy Bacon Soda Bread","9th","'Grateful For My Home and Little Family'",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Hermine","My Favourite Flavours Soda Bread","7th","A Journey Back to France",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Laura","Nana Peg's Nicely Spiced and Cherrylicious Soda Bread","6th","Showstopping Musical Theatre Inspired Bread",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Linda","Cyflym Bara Soda Bread","1st","'Fruits of our Labour' Black Olive Bread & Tiger Bread",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Lottie","Blueberry Breakfast & Summertime Soda Bread","5th","My House In Bread",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Marc","Cornish Soda Breads","2nd","The Dharma Wheel Bread Sheaf",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Mark","Sausage & Stout Soda Bread","3rd","Orchard County Bread with Sweet Apple and Savoury Wild Garlic",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Peter","Black Pudding & Ginger Beer Soda Bread","4th","Edinburgh Cityscape Bread Plaque",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Rowan","Flavours of Italy","10th","Worcestershire Pear Tree",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Sura","Middle Eastern Inspired Soda Bread","8th","Mama's Tomato Vine Harvest Loaf",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ","12"
"Dave","Honeycomb Explosion Brownies","8th","Strawberry Splash White Chocolate Fraisier Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","12"
"Hermine","Raspberry, White Chocolate & Pistachio Brownies","5th","Lemon & White Chocolate Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","12"
"Laura","Salted Caramel Brownie S'mores","2nd","Chocolate Heaven Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","12"
"Linda","'Treats of Christmas Past'","1st","English Rose Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","12"
"Lottie","'Have Your Cake and Eat It' Brownies","9th","Nana and Papa's Sapphire Anniversary Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","12"
"Marc","Praline Brownies","6th","White Chocolate & Raspberry Buttercream Celebration Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","12"
"Mark","'Gimmie S'mores' Brownies","3rd","'A Bake Off Birthday'",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","12"
"Peter","Upside Down Brownies","4th","Graduation Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ","12"
